title_english,title_nepali,author_profile_link,author_name,Audiobook,E-book,Paperback,Hardcover,publisher_profile_link,publisher_name,genre,published_date,edition,isbn10,isbn13,pages,weight,language
,,,,,,210,,https://www.thuprai.com/publisher/parichaya-publication/,Parichaya Publication,Poems for Children,,,9937743176,9789937743174,,,Nepali
Mrittasagarma Tairinda,मृतसागरमा तैरिंदा,https://www.thuprai.com/author/dr-sadananda-kadel/,Dr. Sadananda Kadel,,,251,,https://www.thuprai.com/publisher/nepal-shrasta-samaj/,Nepal Shrasta Samaj,Non-fiction,,1,9937133203,9789937133203,,,Nepali
Naya Ghar,नयाँ घर,https://www.thuprai.com/author/aahuti/,Aahuti,,,525,,https://www.thuprai.com/publisher/pragati-pustak-sadan/,Pragati Pustak Sadan,Novels,2016,5,,,520,485 g,Nepali
Sangya Sarbanam,संज्ञा सर्वनाम,https://www.thuprai.com/author/dhanush-chandra-gotame/,Dha Cha Gotame,,,250,,https://www.thuprai.com/publisher/phoenix-books/,Phoenix Books,Arts,2017,,9937705010,9789937705011,,,Nepali
Bhavlipi,भावलिपि,https://www.thuprai.com/author/bhavesh-bhumari/,Bhavesh Bhumari,,,600,,https://www.thuprai.com/publisher/sargam-publication/,Sargam Prakashan,Non-fiction,,,9937161304,9789937161305,,199.98 g,Nepali
Aashram,आश्रम,https://www.thuprai.com/author/amala-adhikari/,Amala Adhikari,,125,250,,https://www.thuprai.com/publisher/sangri-la-books/,Sangri-La Books,Songs & Lyrical Poems,2019,1,9937734312,9789937734318,142,100 g,Nepali
Badlieko Mod,बदलिएको मोड,https://www.thuprai.com/author/jamuna_khatri/,Jamuna Khatri,,,350,,https://www.thuprai.com/publisher/ghost-writing-nepal/,Ghost Writing Nepal,Autobiography,2019,1st,993793236X,9789937932363,175,175 g,Nepali
Aasha-ko Upahar,आशाको उपहार,https://www.thuprai.com/author/rabin-nepali/,Rabin Nepali,,100,195,,https://www.thuprai.com/publisher/sangri-la-books/,Sangri-La Books,Children,April 2020,First,9937734401,9789937734400,80,,Nepali
Shabda Shibir,शब्दशिविर,https://www.thuprai.com/author/mukunda-raj-sharma/,Mukunda Raj Sharma,,,400,,https://www.thuprai.com/publisher/kamana-news-publications/,Kamana News Publications,Literature/Essays,,1,,,,300 g,Nepali
Sambedanaako Samaayog,संवेदनाको  समायोग,https://www.thuprai.com/author/gyanu-adhikari/,Gyanu Adhikari,,,450,,https://www.thuprai.com/publisher/shikha-books/,Shikha Books,Literature/Essays,,,,,,200 g,Nepali
Ma Pani Nachchhu,म पनि नाच्छु,https://www.thuprai.com/author/anuradha-sharma/,Anuradha Sharma,,,105,,https://www.thuprai.com/publisher/kathalaya/,Kathalaya,"Children,Picturebook for Children",,,,,,,Nepali
